,ratio,AvgGain,BattingAvg,AvgLoss
VG,3.270208099375693,3.693694679336468,0.5,-1.1294983582364748
CDNS,5.889779108087731,2.499549159571246,0.3333333333333333,-0.424387589704156
UONE,8.29704302381878,11.688311152148012,0.5,-1.4087321372920125
AVGO,4.585285778653668,2.1786544466191993,0.4,-0.4751403842180794
ADBE,7.771898249847401,5.031391422309017,0.6666666666666666,-0.6473825647946185
ALXN,4.778475765209314,4.185111640269568,0.6666666666666666,-0.8758256494131755
LLNW,4.762207532711182,5.255680221079051,0.25,-1.1036226760338035
MXIM,0.6642115833868186,0.28357377158416686,0.25,-0.42693289108001187
ARCC,0.8831934555227124,0.5604627706253251,0.4,-0.6345866436404002
COST,20.4411871418927,1.9256644505180165,0.5,-0.09420511818374333
GNUS,0.49896819478772414,2.643422419593233,0.5,-5.297777387830949
FRSX,0.0,0,0,-2.2945497659397387
CRIS,0.0,0,0,-3.4273487109246936
NLOK,-inf,2.1596807374699933,0,0
GEVO,0.8451996137281818,2.4114591987839162,0.3333333333333333,-2.8531238770294176
DGLY,3.6843748198474704,16.487599869795865,0.25,-4.475006120706914
QRTEA,1.2971901860179331,1.7854839292569702,0.4,-1.3764241731877291
MAR,4.873041987170961,3.045092157676854,0.5,-0.6248852699594076
VSTM,2.5337959371057295,1.2396682001644121,0.5,-0.48925336962235555
MGNX,10.113443857876945,13.17990815797514,0.3333333333333333,-1.3032067358251909
SABR,1.232022462400339,2.2589994028048808,0.75,-1.8335699808619488
ENDP,1.8834923680293707,2.988052833407129,0.4,-1.5864427613972332
BYND,2.1319322419175624,2.6894909309599146,0.16666666666666666,-1.2615273966403628
YNDX,3.4571300269651664,3.4344373987597043,0.6666666666666666,-0.993435992274383
COMM,1.9254514835522762,2.2201153352867062,0.75,-1.1530362381246828
APPS,-inf,11.50336254486184,0,0
DCT,95.79080244479475,2.809120912112295,0.3333333333333333,-0.02932558074906222
AGEN,19.503074037828544,3.452347475645301,0.6666666666666666,-0.17701555503245592
DDOG,-inf,4.553444482267855,0,0
PRPO,-inf,2.661908384220568,0,0
ZI,1.5729362590658194,2.7264078921466095,0.6666666666666666,-1.7333238244287452
MIK,3.530269636129971,4.987681510826847,0.16666666666666666,-1.412833019829769
EBAY,2.452871462436714,2.362528141665865,0.25,-0.9631683428363994
EVFM,0.960768021319853,1.2597742281098334,0.4,-1.311215819172688
CEMI,1.9213204167608464,2.452532336768276,0.3333333333333333,-1.276482733110701
BILI,1.3021045873721433,1.440554278726458,0.4,-1.1063276273634275
ZION,0.5893300610226374,2.573435009488423,0.5,-4.366712610965168
ZM,0.8066898227713336,2.592024845128693,0.6666666666666666,-3.213161703495837
PBCT,1.3910413940897042,7.142860323043587,0.5,-5.134901343261511
ZSAN,0.0,0,0,-3.2804190476553696
DISH,1.4218394891526318,1.3757081494070473,0.75,-0.9675551705396246
INFN,6.792990440391438,2.668121714148586,0.5,-0.3927757204373217
VIAC,1.7742907577498916,1.9009188757879825,0.5,-1.0713683016636333
CG,2.762029402788282,1.100624109351056,0.3333333333333333,-0.398483849679504
OPGN,0.6128656349506412,1.4333385028538759,0.3333333333333333,-2.3387483668737827
PEP,-inf,1.1419965421995453,0,0
WDAY,3.9468314418872392,3.178500857363087,0.5,-0.8053297700099493
IMGN,4.883016544770411,4.530510962494027,0.5,-0.9278098734574414
AYRO,10.223385647540445,1.2763494030353484,0.6666666666666666,-0.12484605854053976
BNDX,-inf,0.13092118582818113,0,0
TER,-inf,2.3637728417378323,0,0
Z,3.5617677611487117,2.535251654944648,0.2857142857142857,-0.71179589039994
GT,3.1383810161804515,5.998839150080126,0.25,-1.9114438683996946
NK,2.8570010860882165,4.906346892034253,0.6666666666666666,-1.7173066247419544
DVAX,3.7839904292744686,5.743838563391878,0.5,-1.5179315779858316
AMD,4.212122105745151,4.292987275366444,0.6666666666666666,-1.0191982016644285
QCOM,1.7578055922156555,2.09029523106552,0.5,-1.189150404528394
ABUS,5.027250017523434,8.25224667618738,0.5,-1.6415031373857691
MNLO,-inf,0,0,0
WTRH,6.907246734797218,6.785140350477814,0.5,-0.9823219889186441
ARPO,0.0,0,0,-2.265328675871048
NYMT,0.9657289507937283,1.3418503270144377,0.5,-1.3894688834911462
DFFN,0.0,0,0,-2.292968672849357
KC,8.939513837934472,5.173541272536619,0.6,-0.5787273632916035
XRAY,1.0215409734659497,1.2147752347244745,0.5,-1.1891595797698717
UAL,1.677854247368866,1.2364097497597148,0.16666666666666666,-0.7368993771053689
PAAS,3.317015266774319,2.6487730751873384,0.5,-0.7985411166838485
MU,1.9628467382340122,1.1383601243411867,0.3333333333333333,-0.5799536470001615
CMCSA,5.4315203963781835,2.505665503324439,0.6666666666666666,-0.4613193582031383
SHY,-inf,0.011579227307834117,0,0
GLUU,1.365117095949762,1.0852965912733104,0.6666666666666666,-0.7950208773249812
FOXA,1.0080645247228022,1.940464852610968,0.25,-1.9249411173799194
WATT,4.483687015438441,2.8199486732911616,0.5,-0.6289352186228392
MTP,-inf,1.1111167036458314,0,0
SFM,-inf,6.897482155430801,0,0
ON,1.6619918233019002,1.9628027718846641,0.5,-1.1809942409855778
CLVS,1.8533382828182752,11.691021863033658,0.25,-6.308088475491765
SGMO,1.4138690465726136,6.916392695394746,0.6666666666666666,-4.891819869853508
PLAY,3.4825389234186748,2.1539077438066156,0.4,-0.6184877731939912
HBAN,0.3800256203400026,2.4761859131189223,0.6666666666666666,-6.515839408152324
ROKU,7.73019746768674,4.486799065481839,0.16666666666666666,-0.580424896548537
DHC,7.547766144972412,5.841918655024303,0.3333333333333333,-0.773993065341011
AKER,0.0,0,0,-2.441868474186121
SBUX,12.106340460197217,4.920120554682961,0.25,-0.40640857333057445
RIGL,2.4445733382090733,2.9896497424162227,0.5,-1.2229740444631043
MDLZ,2.9006024195844664,0.9994749409686662,0.75,-0.3445749525065378
HHT,-inf,0,0,0
BIDU,9.730037216218024,6.287875146212896,0.5,-0.6462334117008584
MTCH,2.7985820127833914,2.242081561700441,0.75,-0.8011491360478407
QQQ,6.80620542515099,3.20425013664547,0.5,-0.47078363588686223
