,Unnamed: 0,ratio,AvgGain,BattingAvg,AvgLoss
201,FISV,1.997508632747305,1.007458349361784,0.8,-0.5043574444913212
140,DISCA,2.205913347036657,1.242173871931825,0.75,-0.5631109098643949
286,PAYX,2.2193936594850725,1.4292261315030326,0.75,-0.6439714403052911
207,KHC,7.759885040214787,0.9806878639191904,0.75,-0.12637917428375278
88,MTCH,2.798582012783392,2.242081561700441,0.75,-0.8011491360478407
222,EA,3.566170131140788,1.8538270562515449,0.75,-0.5198369646090106
235,ATVI,4.303372589198888,1.642036704706477,0.75,-0.3815697271548957
238,BBBY,3.1989326902964037,1.4876995118673058,0.75,-0.4650612113159092
204,PFF,0.48709408813169897,0.08094948745369646,0.75,-0.16618860591017806
40,DISH,1.4218394891526318,1.375708149407047,0.75,-0.9675551705396246
