,Unnamed: 0,ratio,AvgGain,BattingAvg,AvgLoss
111,ERIC,4.415636803484034,3.24583079129858,0.75,-0.7350764874360927
151,SFIX,3.7092850214052864,8.003786057286607,0.75,-2.1577705706352868
208,BYFC,1.3355706743860007,6.564670422699801,0.75,-4.9152549906935965
104,ADTX,1.0126661532633563,3.0686884537619217,0.75,-3.0303061318608826
107,ACGL,4.258691690869228,1.8767548022006493,0.75,-0.4406881123196761
65,UAL,0.3917138813432097,1.183033182691588,0.75,-3.0201461807656598
129,POLA,4.078411079040663,12.534135062881793,0.75,-3.073288793102757
269,PEIX,0.8543257059646866,7.912542197560775,0.75,-9.261739571123053
138,FOLD,8.354349691889098,8.786360001142937,0.75,-1.0517108243234374
185,LBTYK,1.9358836834896218,2.0387012725026517,0.75,-1.0531114497683514
