,Unnamed: 0,ratio,AvgGain,BattingAvg
48,AYRO,4.064242882351381,3.1033461133362503,12.0
238,BBBY,2.720196289446132,3.120828764235484,7.0
166,LVGO,2.633896970714868,1.2393626954401262,7.0
73,MTP,2.39522073822532,4.320091459255966,5.0
60,ARPO,2.342546806690732,3.0009107293448523,8.0
169,MBRX,2.3123009473917606,2.469014572030621,8.0
11,FRSX,2.3101482147256087,3.3142394813419247,8.0
84,RIGL,2.239167567138197,2.1536891064806327,9.0
139,XLNX,2.1028987887953847,2.042285724149268,9.0
159,CREX,2.043965800941326,3.2821676623318017,4.0
