,ratio,AvgGain,BattingAvg
VG,1.708549875213902,1.9902439173821522,11.0
CDNS,3.8267041422999872,2.9635332947361928,16.0
UONE,3.979408462294165,12.553397303959423,8.0
AVGO,2.401718909443827,1.4221636683824812,21.0
ADBE,2.6931396572211845,2.2950250882171197,16.0
ALXN,1.7511073469229348,1.5000077624814288,14.0
LLNW,1.4566571948668539,6.888915365747045,10.0
MXIM,2.9744249277337595,2.225762624769889,12.0
ARCC,4.736971226337391,2.6027847290170567,13.0
COST,4.3620554942843395,2.065965433094352,14.0
GNUS,1.2370565935693343,5.852598149896363,8.0
FRSX,0.891917757124922,2.1616214764518804,10.0
CRIS,1.8973744224880493,4.106620358220869,14.0
NLOK,1.4816662708862067,1.1910404222621285,13.0
GEVO,1.216406722421462,3.2174319289845412,6.0
DGLY,0.2575455601269742,0.6224158535836096,16.0
QRTEA,2.276808765920565,3.1857480585101885,10.0
MAR,1.2964222525761155,1.354226715092545,9.0
VSTM,0.9295716858660227,1.8558805817448103,8.0
MGNX,0.6662955406783078,0.9629679958014004,16.0
SABR,3.268619600280123,5.230039891194953,14.0
ENDP,4.265395447470483,13.003414202447678,9.0
BYND,1.2409775921814639,1.5114400019377423,11.0
YNDX,2.4382925350322724,3.0651744018430516,8.0
COMM,1.2772224734590962,2.1297115620207676,8.0
APPS,0.8086812263216575,2.189532281172043,14.0
DCT,-inf,0,0
AGEN,0.9084346700591771,2.1326574282054014,14.0
DDOG,3.2224188585606446,4.679385159628812,13.0
PRPO,1.971326316763106,5.51388183185022,10.0
ZI,2.034035543438894,3.406800147305757,11.0
MIK,3.087320036125774,4.219430953932601,12.0
EBAY,4.8277728162487925,3.681259334609983,9.0
EVFM,2.814300951424638,4.397841242310836,11.0
CEMI,2.273784092701537,3.4652208018407546,12.0
BILI,4.598554770160048,6.272527210253442,17.0
ZION,4.066336716039181,4.654138007114361,21.0
ZM,5.002594240817567,7.917899315126817,15.0
PBCT,2.661580608798308,3.1405906154719885,14.0
ZSAN,2.3502508713376637,4.578576642550869,9.0
DISH,2.2095277012089856,2.1555313967520564,19.0
INFN,1.8524296966994471,2.6191923207390433,11.0
VIAC,1.4416171833225275,1.7859878109570104,13.0
CG,2.2841834294841608,1.5889316264430355,15.0
OPGN,1.6823010870041533,2.839238111638265,9.0
PEP,2.401124211147483,1.2927574856345918,15.0
WDAY,2.267612494827149,2.67287106364503,14.0
IMGN,8.390010305569978,11.23209162009029,11.0
AYRO,1.010323175767338,2.6216441571146407,15.0
BNDX,4.096738441355559,0.27948068242809043,8.0
TER,1.909463675761311,1.3482931038138706,10.0
Z,2.251791696117223,2.633591376287603,18.0
GT,2.152897380473558,3.3549049372509527,6.0
NK,3.698970076618097,6.416298043280195,12.0
DVAX,1.2234487232326006,3.00735681091396,14.0
AMD,2.4939764897940204,2.2694519907396233,14.0
QCOM,2.493592849724035,1.3782109193789305,18.0
ABUS,1.1905976193553622,1.996531647891281,15.0
MNLO,1.2931616777550663,4.912284546978762,4.0
WTRH,1.6024920563547453,3.7100563946794374,11.0
ARPO,2.5426372488156064,9.519823987398345,11.0
NYMT,1.453855122693813,2.6594905167400196,11.0
DFFN,2.6014608338002976,5.867192541910538,10.0
KC,1.1630552807815975,2.457821727262662,18.0
XRAY,2.2881930713943865,1.9565757107478507,12.0
UAL,1.3596815567407545,1.7788749606077878,13.0
PAAS,2.080025513562938,2.705378805041936,13.0
MU,1.474960647926078,1.2695220909820153,14.0
CMCSA,1.0896116432408587,0.8822901935077879,14.0
SHY,1.588500684913103,0.02314773534457526,6.0
GLUU,1.099628041514335,1.3435147437335315,15.0
FOXA,2.1163844766590554,1.6846514435180726,9.0
WATT,3.8000063921344074,8.035719531531328,12.0
MTP,0.42042479029481905,1.5633303366054063,6.0
SFM,1.2179157058681762,1.1280590759484066,19.0
ON,3.7633187626909135,3.9629902603361593,16.0
CLVS,1.5120259309877173,2.9387335268790005,13.0
SGMO,0.864925258034549,1.5850396515060292,7.0
PLAY,2.3113873076851426,7.57708108503442,12.0
HBAN,1.8961986172726772,2.2947448435555406,11.0
ROKU,4.703336159576992,5.756946746150158,13.0
DHC,0.7673503137953345,1.2790016936573518,12.0
AKER,0.7887506807706111,2.009813160933701,12.0
SBUX,2.0979922453939848,1.1531014249998806,12.0
RIGL,1.2496902017941225,2.9487639908671155,7.0
MDLZ,3.1995352027639226,1.7519868054181764,14.0
HHT,1.2450260292685713,13.263292331495236,7.0
BIDU,1.3905160221121127,1.3192365207622736,20.0
MTCH,1.9302503286794153,1.7859144061562715,17.0
QQQ,3.7530225978056153,2.5997117579068476,15.0
TCOM,3.042623712893794,2.722811449925344,11.0
PTON,2.515250715144165,3.3048328208752826,11.0
AMRN,4.498243617252347,7.10376913878064,10.0
SDC,1.2700521895130727,2.3250765752776736,12.0
EXC,5.2418472979453,2.741981904939102,10.0
STAY,1.1745223670087606,1.8300901822600284,14.0
PYPL,4.684862973965091,4.62821448921561,12.0
HZNP,2.081313849440534,1.9896831902631362,17.0
DOCU,2.7222478607378866,3.044949330652673,18.0
SUNW,21.34279774282376,99.83509380882168,13.0
PHUN,0.8816459741396357,4.875996934424398,6.0
MDRX,1.9400639511823612,2.33049320454779,12.0
MNST,3.8964901118218993,2.600006657648916,12.0
RUN,5.883399689380383,9.211898932375076,17.0
ADTX,3.964598000362042,4.902392366031087,10.0
ROST,1.1533509177349124,1.221702223614734,9.0
SLM,3.06447544464815,3.1040542020351802,14.0
ACGL,2.5871600969897304,2.097646325317541,12.0
CAKE,1.2564195742942084,2.1155014859071057,14.0
CSX,1.102384192911478,1.0138181246295952,14.0
AGNC,1.134307598478241,0.7332408285032455,13.0
ERIC,2.766147243121525,3.1299441500464065,9.0
CLSN,0.0,0,0
MIST,0.546260890082555,1.3069430280127081,13.0
CAPR,1.6473952144710604,3.4220052912239796,12.0
GILD,0.9118139852164902,0.56646994298765,12.0
VBIV,0.7277963965554313,1.6670266090217822,13.0
NVAX,1.3670527062544848,2.708684682816191,14.0
NTAP,2.621524736132628,2.1227951858406136,10.0
HMHC,2.840622461541556,7.316641043903623,7.0
FLDM,2.2285174404879347,6.626991372566705,9.0
MOMO,1.9965686596585783,2.7220013311130664,18.0
TLT,2.45310745954113,0.9119419143597152,14.0
FCEL,2.303615972585127,6.428861872992114,13.0
GPRO,5.96049270832039,10.986175760532646,9.0
IDEX,0.8601839148497679,2.7733029053032876,10.0
FAST,2.7513533970676494,0.9766032408655811,13.0
ATHX,0.2367324849640699,0.5184737737886524,13.0
LYFT,1.6912862446566925,2.4077117478456125,12.0
POLA,4.254222143405098,16.15221262581004,12.0
MEIP,1.2490874036212996,1.7716895995608617,9.0
APHA,4.12801970234873,7.79311270419713,15.0
SONN,1.7259676262360837,3.5368835118077997,8.0
ETFC,0.8164889842997002,1.037010284458506,11.0
CLNE,0.8647169826810288,1.4706876101618527,10.0
VEON,1.530579166301058,2.5853025033123624,7.0
FANG,1.8344262113255878,3.2914958774073795,10.0
MGEN,0.2431964493455619,1.238078982634394,7.0
FOLD,3.896884585654239,4.037100182938087,6.0
XLNX,0.8611385701125168,1.3020241685252214,11.0
DISCA,1.4583195274882528,1.5957438619210373,13.0
TXMD,4.295978094831064,7.044640009048616,10.0
OTLK,6.593239467973315,15.307526911284652,9.0
BND,2.097557124741546,0.1943070756203702,15.0
ANGI,2.2654903143542464,3.2517755926474288,12.0
NBL,0.8245501646109942,1.2331126013243932,12.0
AMZN,5.774755454438616,3.3416845052808952,12.0
FITB,2.180406891683787,2.7906659245754013,14.0
ACWX,3.5497630466394234,1.1497004186581912,14.0
WKHS,1.8863992861218175,5.186534500331826,11.0
FB,3.704422136025673,2.972926662418667,16.0
SFIX,1.5486148708533947,2.163355080815532,10.0
LTRPA,1.1684337455016627,3.251586893287128,12.0
XEL,1.274387226803831,0.8877095263560271,11.0
RRR,0.8432114992526901,1.301474933355573,11.0
TMUS,3.341981159281036,2.3270354590066766,12.0
TSLA,0.9178887175478592,1.788698580225415,16.0
NVDA,2.8382788211996988,2.6616606117965405,14.0
WDC,2.3044995069448655,3.5566737657888647,10.0
CREX,1.2672924012276203,4.828138438981933,11.0
STNE,1.6609258504078062,1.7887044661908604,15.0
CBAY,2.6884437456824277,4.043473768068195,13.0
TRIP,1.0915221000895585,1.7070651652738764,13.0
ALT,0.7517469583137518,1.8443236424373666,15.0
MRVL,3.523114766338418,2.428278101150189,18.0
SMH,4.210223975846319,2.462436270711926,20.0
LVGO,2.23168820438428,2.5715733008310693,23.0
GAN,1.8474630246914736,3.5115972154137474,12.0
BLMN,2.4819821659800314,4.113578935839597,19.0
MBRX,0.3579520444123556,1.5554566981420326,7.0
SHV,0.0,0,0
SQQQ,1.3786403718429983,2.8431560344387496,12.0
RPRX,1.7265622849769193,1.946133216163587,17.0
MCHI,5.987840968444181,2.674493489903357,11.0
VISL,2.8119104224050977,8.441628284749259,11.0
ADI,2.959899012436529,2.1430482549388197,15.0
URBN,0.9536949145511533,1.5046938125019242,12.0
JAMF,2.7793793845101527,3.294426101741648,11.0
TGTX,3.8264292066825263,5.391384234190336,11.0
AIKI,4.537595251646817,10.8889261380277,7.0
AAPL,2.6550205727822895,2.7339689314353244,12.0
MLCO,0.563690107103717,1.2098025095859777,10.0
WBA,1.2687296444569423,0.7971227343646562,11.0
SRNE,3.5774923362533713,9.851326153628566,11.0
NWSA,1.0972836775421673,0.869489083184416,18.0
LBTYK,3.9045050001478185,2.9783131525418525,13.0
GPOR,1.0548707613816586,5.8538806090693445,5.0
IRWD,2.4920681381346332,2.8270933506651867,10.0
YRCW,2.464817530922276,5.280111802342113,13.0
APA,0.9978004633555286,1.897858684693382,12.0
MYOS,0.47160569643445505,1.646025252414085,7.0
VOD,3.452133977769788,2.3623993038500215,10.0
NBEV,1.168077374668647,2.8912331691947637,8.0
UPWK,2.248067805704765,3.005849058263516,13.0
NERV,1.939333425256093,3.7787132401524652,17.0
CZR,2.04439459081092,2.9998915715881314,20.0
WEN,2.9097697361739,1.7888643166172262,11.0
MGNI,3.215989189938385,6.494622554602174,14.0
CRWD,1.4534022762901875,2.0087423031570584,23.0
DLTR,3.45667100993087,2.619948712240272,16.0
MSFT,3.4051481559984755,2.6586999046204483,13.0
FISV,4.304110942868957,3.579885445129838,16.0
GOCO,4.185007560691314,5.553749625710025,9.0
IAC,2.3141121382109944,2.1541118080105948,22.0
PFF,4.316122483577562,0.49884740318106857,8.0
XSPA,3.1149599932940775,7.806917672207152,13.0
SAVA,4.631584700957396,7.312372733581321,10.0
KHC,1.3875522483357074,0.9760573218474455,10.0
BYFC,2.4167339923011033,5.909853785277607,10.0
AMAT,2.4045120000124722,2.2236981974646355,15.0
BNTX,4.2849997908325035,7.263831306982316,10.0
INTC,0.7233688850042805,1.3168977298521807,12.0
HTHT,1.8923958558745466,2.301861670645227,7.0
VLY,2.467008873898827,2.7631741900760347,12.0
NAVI,2.917156309310762,3.9326598719548356,10.0
JD,3.3763518636470575,1.6912951078604663,11.0
SOLO,2.258826190424806,5.4126847007054835,13.0
GNMK,1.792114439142711,3.443304054691198,12.0
OSTK,1.0280964281123701,1.715446610775011,20.0
MAT,2.722316754333772,2.741102267003615,13.0
ONTX,5.997165668914469,20.612535082311048,3.0
EMB,1.7902629549891036,0.5356060807668594,6.0
EA,3.3380526112017233,1.9575059035514875,16.0
BCRX,1.5563050738733815,2.8730219390765117,8.0
SINT,3.3318731134688524,8.031107930130235,12.0
AMTD,0.843296099017469,1.3680825470049858,10.0
INSG,0.7136225474984048,1.1457181691615137,17.0
IQ,0.9780316343150959,1.3064041396633568,16.0
LPCN,0.8870732711643603,1.930660115122344,13.0
UONEK,2.828540083545166,10.101860859688715,8.0
GERN,3.315863097632959,5.702465898582136,7.0
PDD,3.9489178638603963,4.195060993398414,14.0
FLEX,2.920572741777126,4.766568668030062,9.0
BIGC,-inf,0,0
CLSK,4.196549362846949,10.595308054475433,12.0
ATVI,1.8510596419746417,1.672605617712991,16.0
OGI,3.3488679468474953,5.477566785741021,12.0
NWL,1.1682393390730272,1.152832440091773,13.0
BBBY,4.697553816689034,7.042951768432796,16.0
SIRI,1.6594564763606017,1.837612783947478,10.0
DKNG,2.102939196207651,5.048572991969198,11.0
MNKD,1.4171574609743918,2.8690266463883107,10.0
MCHP,1.8357354801869368,1.8773700742596577,16.0
CNDT,0.971352465839294,1.7211317679106752,13.0
TXN,4.395541782885006,2.6082228288924254,14.0
KNDI,2.8663053361325854,6.849585908427725,17.0
